Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,MPAA Rating,Running Time (min),Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
Hairspray,118823091,202823091,104104829,75000000,20-Jul-07,PG,117,New Line,Remake,Musical,Historical Fiction,Adam Shankman,91,7.2,41511
The Happening,64506874,163403799,21432877,60000000,13-Jun-08,R,89,20th Century Fox,Original Screenplay,Thriller/Suspense,Science Fiction,M. Night Shyamalan,18,5.2,72259
The House Bunny,48237389,70237389,15442818,25000000,22-Aug-08,PG-13,98,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Fred Wolf,39,5.5,18964
Hidalgo,67286731,107336658,,78000000,5-Mar-04,PG-13,136,Walt Disney Pictures,Original Screenplay,Western,Historical Fiction,Joe Johnston,46,6.6,23604
Head of State,37788228,38283765,,35200000,28-Mar-03,PG-13,95,Dreamworks SKG,Original Screenplay,Comedy,Contemporary Fiction,Chris Rock,30,5.1,8447
He Got Game,21567853,21567853,,25000000,1-May-98,R,134,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,Spike Lee,80,6.8,14494
Heist,23483357,28483168,,35000000,9-Nov-01,R,109,New Line,Original Screenplay,Action,Contemporary Fiction,David Mamet,66,3.2,77
Hellboy,59623958,99823958,,60000000,2-Apr-04,PG-13,122,Sony Pictures,Based on Comic/Graphic Novel,Action,Super Hero,Guillermo Del Toro,81,6.8,67763
Raising Helen,37485528,43340302,,50000000,28-May-04,PG-13,119,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,Garry Marshall,22,5.7,10526
The Haunting,91188905,180188905,,80000000,23-Jul-99,PG-13,114,Dreamworks SKG,Based on Book/Short Story,Horror,Contemporary Fiction,Jan De Bont,17,4.6,31808
High Crimes,41543207,63781100,,42000000,5-Apr-02,PG-13,115,20th Century Fox,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Carl Franklin,31,6.1,14428
High Fidelity,27277055,47881663,,20000000,31-Mar-00,R,114,Walt Disney Pictures,Based on Book/Short Story,Comedy,Contemporary Fiction,Stephen Frears,92,7.6,69740
Hitch,177784257,366784257,,55000000,11-Feb-05,PG-13,113,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Andy Tennant,69,5.7,89
Hannibal Rising,27669725,80583311,23365803,50000000,9-Feb-07,R,121,Weinstein Co.,Based on Book/Short Story,Thriller/Suspense,Historical Fiction,Peter Webber,15,6,28690
The Hangover,277322503,465132119,165916727,35000000,5-Jun-09,R,99,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Todd Phillips,78,7.9,127634
Holes,67383924,72383924,,20000000,18-Apr-03,PG,117,Walt Disney Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Andrew Davis,77,7.1,19388
The Holiday,63280000,205190324,71449071,85000000,8-Dec-06,PG-13,131,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Nancy Meyers,47,6.9,48215
Hollow Man,73209340,191200000,,90000000,4-Aug-00,R,112,Sony Pictures,Original Screenplay,Horror,Science Fiction,Paul Verhoeven,28,5.5,41499
Honey,30272254,62192232,,18000000,5-Dec-03,PG-13,94,Universal,Original Screenplay,Drama,Contemporary Fiction,Bille Woodruff,20,4.6,13026
Hope Floats,60110313,81529000,,30000000,29-May-98,PG-13,114,20th Century Fox,Original Screenplay,Drama,Contemporary Fiction,Forest Whitaker,23,5.3,9168
The Hours,41675994,108775994,,25000000,27-Dec-02,PG-13,115,Paramount Pictures,Based on Book/Short Story,Drama,Historical Fiction,Stephen Daldry,80,7.6,44618
Bringing Down the House,132675402,164675402,,20000000,7-Mar-03,PG-13,105,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,Adam Shankman,34,5.4,16242
Harry Potter and the Chamber of Secrets,261987880,878987880,,100000000,15-Nov-02,PG,161,Warner Bros.,Based on Book/Short Story,Adventure,Fantasy,Chris Columbus,82,7.2,120063
Harry Potter and the Prisoner of Azkaban,249538952,795538952,,130000000,4-Jun-04,PG,141,Warner Bros.,Based on Book/Short Story,Adventure,Fantasy,Alfonso Cuaron,90,7.7,108928
Harry Potter and the Goblet of Fire,290013036,896013036,215701005,150000000,18-Nov-05,PG-13,157,Warner Bros.,Based on Book/Short Story,Adventure,Fantasy,Mike Newell,88,7.6,111946
Harry Potter and the Order of the Phoenix,292004738,938468864,220867077,150000000,11-Jul-07,PG-13,138,Warner Bros.,Based on Book/Short Story,Adventure,Fantasy,David Yates,78,7.4,104074
Harry Potter and the Half-Blood Prince,301959197,937499905,103574938,250000000,15-Jul-09,PG,153,Warner Bros.,Based on Book/Short Story,Adventure,Fantasy,David Yates,83,7.3,73720
Happy Feet,198000317,385000317,203263968,85000000,17-Nov-06,PG,108,Warner Bros.,Original Screenplay,Adventure,Kids Fiction,George Miller,74,6.7,42369
Hardball,40222729,44102389,,21000000,14-Sep-01,PG-13,106,Paramount Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Brian Robbins,38,4.1,165
The Horse Whisperer,75383563,75383563,,60000000,15-May-98,PG-13,168,Walt Disney Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Robert Redford,71,6.3,15831
Hot Fuzz,23618786,79197493,33391776,16000000,20-Apr-07,R,121,Focus Features,Original Screenplay,Comedy,Contemporary Fiction,Edgar Wright,91,8,129779
Hulk,132177234,245360480,,137000000,20-Jun-03,PG-13,138,Universal,Based on Comic/Graphic Novel,Action,Super Hero,Ang Lee,62,5.7,70844
The Incredible Hulk,134806913,263349257,58503066,137500000,13-Jun-08,PG-13,112,Universal,Based on Comic/Graphic Novel,Adventure,Super Hero,Louis Leterrier,66,7.1,82419
The Hunchback of Notre Dame,100138851,325500000,,100000000,21-Jun-96,G,86,Walt Disney Pictures,Based on Book/Short Story,Adventure,Historical Fiction,Gary Trousdale,73,6.5,19479
The Hunted,34234008,45016494,,55000000,14-Mar-03,R,94,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,William Friedkin,31,5.8,18941
Starsky & Hutch,88200225,170200225,,60000000,5-Mar-04,PG-13,101,Warner Bros.,Based on TV,Comedy,Historical Fiction,Todd Phillips,64,6.2,48935
Hollywood Homicide,30207785,51107785,,75000000,13-Jun-03,PG-13,116,Sony/Columbia,Original Screenplay,Action,Contemporary Fiction,Ron Shelton,30,5.2,16452
Ice Age,176387405,383257136,,65000000,15-Mar-02,PG,81,20th Century Fox,Original Screenplay,Adventure,Kids Fiction,Chris Wedge,77,7.4,75552
Identity,52131264,90231264,,28000000,25-Apr-03,R,90,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,James Mangold,62,7.3,57909
The Imaginarium of Doctor Parnassus,7689458,58692979,5387124,30000000,25-Dec-09,PG-13,122,Sony Pictures Classics,Original Screenplay,Adventure,Fantasy,Terry Gilliam,64,7.1,33374
Imagine That,16123323,16123323,,55000000,12-Jun-09,PG,107,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,Karey Kirkpatrick,38,5.4,3092
Inception,285630280,753830280,,160000000,16-Jul-10,PG-13,147,Warner Bros.,Original Screenplay,Thriller/Suspense,Science Fiction,Christopher Nolan,87,9.1,188247
Inkheart,17303424,58051454,8342886,60000000,23-Jan-09,PG,105,Warner Bros.,Based on Book/Short Story,Adventure,Fantasy,Iain Softley,40,6.1,14157
In & Out,63826569,83226569,,35000000,19-Sep-97,PG-13,92,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,Frank Oz,71,6.1,18773
I Now Pronounce You Chuck and Larry,119725280,185708462,69334335,85000000,20-Jul-07,PG-13,115,Universal,Original Screenplay,Comedy,Contemporary Fiction,Dennis Dugan,14,6.1,46347
The Insider,28965197,60265197,,68000000,5-Nov-99,R,157,Walt Disney Pictures,Based on Book/Short Story,Drama,Dramatization,Michael Mann,96,8,68747
Insomnia,67263182,113622499,,46000000,24-May-02,R,118,Warner Bros.,Remake,Thriller/Suspense,Contemporary Fiction,Christopher Nolan,92,6.3,33
Instinct,34105207,34105207,,55000000,4-Jun-99,R,123,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,Jon Turteltaub,27,6.2,15388
Iron Man,318604126,582604126,169251757,186000000,2-May-08,PG-13,126,Paramount Pictures,Based on Comic/Graphic Novel,Action,Super Hero,Jon Favreau,94,7.9,174040
The Iron Giant,23159305,31333917,,50000000,4-Aug-99,PG,86,Warner Bros.,Based on Book/Short Story,Adventure,Kids Fiction,Brad Bird,97,7.9,38791
I Spy,33561137,33561137,,70000000,1-Nov-02,PG-13,97,Sony Pictures,Based on TV,Action,Contemporary Fiction,Betty Thomas,15,5.3,18061
The Italian Job,106126012,175826012,,60000000,30-May-03,PG-13,111,Paramount Pictures,Remake,Adventure,Contemporary Fiction,F. Gary Gray,73,6.9,76835
I Think I Love My Wife,12559771,13205411,13566229,14000000,16-Mar-07,R,94,Fox Searchlight,Remake,Romantic Comedy,Contemporary Fiction,Chris Rock,19,5.5,8643
Jackie Brown,39673162,72673162,,12000000,25-Dec-97,R,154,Miramax,Based on Book/Short Story,Drama,Contemporary Fiction,Quentin Tarantino,85,7.6,84068
The Jackal,54956941,159356941,,60000000,14-Nov-97,R,124,Universal,Remake,Thriller/Suspense,Contemporary Fiction,Michael Caton-Jones,12,6,35540
Jarhead,62647540,96947540,52209103,72000000,4-Nov-05,R,115,Universal,Based on Book/Short Story,Drama,Dramatization,Sam Mendes,61,7.2,60650
The World is Not Enough,126930660,361730660,,135000000,19-Nov-99,PG-13,125,MGM,Based on Book/Short Story,Action,Contemporary Fiction,Michael Apted,51,6.3,59406
Die Another Day,160942139,431942139,,142000000,22-Nov-02,PG-13,133,MGM,Based on Book/Short Story,Action,Contemporary Fiction,Lee Tamahori,59,6,67476
Casino Royale,167365000,596365000,79681613,102000000,17-Nov-06,PG-13,144,Sony Pictures,Based on Book/Short Story,Action,Contemporary Fiction,Martin Campbell,94,8,172936
Joe Dirt,27087695,30987695,,16000000,11-Apr-01,PG-13,91,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Dennie Gordon,11,5.4,18666
Jersey Girl,25266129,37066129,,35000000,26-Mar-04,PG-13,102,Miramax,Original Screenplay,Comedy,Contemporary Fiction,Kevin Smith,40,6.2,27370
Joe Somebody,22770864,24515990,,38000000,21-Dec-01,PG,98,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,John Pasquin,19,5.3,5313
John Q,71026631,102226631,,36000000,15-Feb-02,PG-13,116,New Line,Original Screenplay,Drama,Contemporary Fiction,Nick Cassavetes,22,6.6,32338
Jerry Maguire,153952592,274000000,,50000000,13-Dec-96,R,138,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Cameron Crowe,84,7.2,78603
Jay and Silent Bob Strike Back,30059386,33762400,,22000000,24-Aug-01,R,104,Miramax/Dimension,Spin-Off,Comedy,Contemporary Fiction,Kevin Smith,53,6.8,62692
Juno,143495265,230327671,57612374,7000000,5-Dec-07,PG-13,95,Fox Searchlight,Original Screenplay,Comedy,Contemporary Fiction,Jason Reitman,93,7.9,149855
Just Married,56127162,56127162,,19000000,10-Jan-03,PG-13,95,20th Century Fox,Original Screenplay,Romantic Comedy,Contemporary Fiction,Shawn Levy,20,5.1,19508
Freddy vs. Jason,82622655,114326122,,25000000,15-Aug-03,R,97,New Line,Spin-Off,Horror,Contemporary Fiction,Ronny Yu,41,5.8,39182
K-19: The Widowmaker,35168966,65716126,,90000000,19-Jul-02,PG-13,138,Paramount Pictures,Based on Book/Short Story,Action,Dramatization,Kathryn Bigelow,61,6.5,22288
The Original Kings of Comedy,38168022,38236338,,3000000,18-Aug-00,R,116,Paramount Pictures,Based on Real Life Events,Concert/Performance,Factual,Spike Lee,86,6.2,3258
Kiss of the Dragon,36833473,36833473,,25000000,6-Jul-01,R,98,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,Chris Nahon,51,6.3,22087
Kill Bill: Volume 1,70098138,180098138,,55000000,10-Oct-03,R,111,Miramax,Original Screenplay,Action,Contemporary Fiction,Quentin Tarantino,85,8.2,231761
King Kong,218080025,550517357,140752353,207000000,14-Dec-05,PG-13,187,Universal,Remake,Adventure,Fantasy,Peter Jackson,83,7.6,132720
Knocked Up,148761765,218994109,117601397,27500000,1-Jun-07,R,132,Universal,Original Screenplay,Romantic Comedy,Contemporary Fiction,Judd Apatow,90,7.5,111192
The Kingdom,47467250,86509602,34065220,72500000,28-Sep-07,R,110,Universal,Original Screenplay,Action,Contemporary Fiction,Peter Berg,51,7.1,47200
Knowing,79957634,187858642,23450931,50000000,20-Mar-09,PG-13,121,Summit Entertainment,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Alex Proyas,32,6.4,58138
K-PAX,50315140,50315140,,48000000,26-Oct-01,PG-13,121,Universal,Based on Book/Short Story,Drama,Science Fiction,Iain Softley,40,7.3,50475
The Kite Runner,15800078,73222245,6563936,20000000,14-Dec-07,PG-13,122,Paramount Vantage,Based on Book/Short Story,Drama,Contemporary Fiction,Marc Forster,66,7.8,26816
L.A. Confidential,64604977,110604977,,35000000,19-Sep-97,R,137,Warner Bros.,Based on Book/Short Story,Drama,Historical Fiction,Curtis Hanson,99,8.4,165161
Law Abiding Citizen,73357727,113190972,20038881,53000000,16-Oct-09,R,108,Overture Films,Original Screenplay,Thriller/Suspense,Contemporary Fiction,F. Gary Gray,25,7.2,45577
Ladder 49,74541707,102332848,,60000000,1-Oct-04,PG-13,105,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,Jay Russell,40,6.5,23369
The Ladykillers,39692139,77692139,,35000000,26-Mar-04,R,104,Walt Disney Pictures,Remake,Comedy,Contemporary Fiction,Joel Coen,54,6.2,39242
Lakeview Terrace,39263506,44263506,21455006,20000000,19-Sep-08,PG-13,106,Sony/Screen Gems,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Neil LaBute,46,6.3,18547
Land of the Lost,49438370,69548641,18953806,100000000,5-Jun-09,PG-13,101,Universal,Based on TV,Comedy,Fantasy,Brad Silberling,26,5.3,16830
Little Children,5463019,14763019,3657245,14000000,6-Oct-06,R,136,New Line,Based on Book/Short Story,Drama,Contemporary Fiction,Todd Field,79,7.8,37162
I am Legend,256393010,585055701,129742540,150000000,14-Dec-07,PG-13,100,Warner Bros.,Based on Book/Short Story,Horror,Science Fiction,Francis Lawrence,69,7.1,153631
Letters from Iwo Jima,13756082,68756082,13625847,13000000,20-Dec-06,R,141,Warner Bros.,Based on Real Life Events,Drama,Historical Fiction,Clint Eastwood,91,8.1,56872
The Hurricane,50699241,73956241,,38000000,29-Dec-99,R,125,Universal,Based on Real Life Events,Drama,Dramatization,Norman Jewison,83,7.4,32172
Liar Liar,181410615,302710615,,45000000,21-Mar-97,PG-13,87,Universal,Original Screenplay,Comedy,Contemporary Fiction,Tom Shadyac,82,6.7,67798
The Life Aquatic with Steve Zissou,24006726,34806726,,50000000,10-Dec-04,R,118,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,Wes Anderson,53,7.2,57889
Life,64062587,73521587,,75000000,16-Apr-99,R,108,Universal,Original Screenplay,Comedy,Contemporary Fiction,Ted Demme,50,5.3,99
Like Mike,51432423,62432423,,30000000,3-Jul-02,PG,99,20th Century Fox,Original Screenplay,Comedy,Kids Fiction,John Schultz,56,4.4,4870
The Last King of Scotland,17606684,48363516,16836991,6000000,27-Sep-06,R,121,Fox Searchlight,Based on Book/Short Story,Drama,Dramatization,Kevin MacDonald,87,7.8,54022
Lions for Lambs,14998070,63211088,9203604,35000000,9-Nov-07,R,90,United Artists,Original Screenplay,Drama,Contemporary Fiction,Robert Redford,27,6.2,22264
How to Lose a Guy in 10 Days,105807520,177079973,,50000000,7-Feb-03,PG-13,116,Paramount Pictures,Based on Book/Short Story,Romantic Comedy,Contemporary Fiction,Donald Petrie,43,6.1,33866
Lost In Space,69117629,136117629,,80000000,3-Apr-98,PG-13,131,New Line,Based on TV,Adventure,Science Fiction,Stephen Hopkins,26,4.8,31611
Love and Basketball,27441122,27709625,,15000000,21-Apr-00,PG-13,125,New Line,Original Screenplay,Drama,Historical Fiction,Gina Prince-Bythewood,81,6.7,5835
The Last Samurai,111110575,456810575,,120000000,5-Dec-03,R,154,Warner Bros.,Original Screenplay,Action,Historical Fiction,Edward Zwick,65,7.8,106002
Lost in Translation,44585453,106454000,,4000000,12-Sep-03,R,102,Focus Features,Original Screenplay,Drama,Contemporary Fiction,Sofia Coppola,94,7.9,130998
License to Wed,43799818,70799818,22782913,35000000,3-Jul-07,PG,90,Warner Bros.,Original Screenplay,Romantic Comedy,Contemporary Fiction,Ken Kwapis,7,5.1,15422
Lethal Weapon 4,130444603,285400000,,140000000,10-Jul-98,R,127,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Richard Donner,54,6.4,47846
Lucky You,5755286,6521829,853973,55000000,4-May-07,PG-13,122,Warner Bros.,Original Screenplay,Drama,Historical Fiction,Curtis Hanson,28,5.9,9870
Herbie: Fully Loaded,66010682,144110682,,50000000,22-Jun-05,G,95,Walt Disney Pictures,,Comedy,Kids Fiction,Angela Robinson,42,4.7,14178
For Love of the Game,35188640,46112640,,50000000,17-Sep-99,PG-13,137,Universal,Based on Book/Short Story,Drama,Contemporary Fiction,Sam Raimi,64,6.2,13612
The Longest Yard,158119460,190320568,,82000000,27-May-05,PG-13,113,Paramount Pictures,Remake,Comedy,Contemporary Fiction,Peter Segal,31,6.2,39752
Madagascar,193595521,532680671,,75000000,27-May-05,PG,83,Dreamworks SKG,Original Screenplay,Adventure,Kids Fiction,Eric Darnell,55,6.6,56480
Paul Blart: Mall Cop,146336178,180449670,53105030,26000000,16-Jan-09,PG,91,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Steve Carr,35,5.3,23753
A Man Apart,26500000,44114828,,36000000,4-Apr-03,R,110,New Line,Original Screenplay,Action,Contemporary Fiction,F. Gary Gray,11,5.7,14953
Man on Fire,77906816,118706816,,60000000,23-Apr-04,R,146,20th Century Fox,Remake,Thriller/Suspense,Contemporary Fiction,Tony Scott,38,7.7,75256
Man on the Moon,34580635,47407635,,52000000,22-Dec-99,R,118,Universal,Based on Real Life Events,Drama,Dramatization,Milos Forman,62,7.4,49481
The Matrix,171479930,460279930,,65000000,31-Mar-99,R,136,Warner Bros.,Original Screenplay,Action,Science Fiction,Andy Wachowski,86,8.7,380934
My Big Fat Greek Wedding,241438208,368744044,,5000000,19-Apr-02,PG,95,IFC Films,Based on Play,Romantic Comedy,Contemporary Fiction,Joel Zwick,75,6.6,46548
My Best Friend's Girl,19219250,34787111,18449619,20000000,19-Sep-08,R,103,Lionsgate,Original Screenplay,Comedy,Contemporary Fiction,Howard Deutch,15,5.8,14617
The Manchurian Candidate,65948711,96148711,,80000000,30-Jul-04,R,129,Paramount Pictures,Remake,Thriller/Suspense,Historical Fiction,Jonathan Demme,81,6.7,36553
Master and Commander: The Far Side of the World,93926386,209486484,,135000000,14-Nov-03,PG-13,138,20th Century Fox,Based on Book/Short Story,Adventure,Historical Fiction,Peter Weir,85,7.5,63632
Million Dollar Baby,100492203,216763646,,30000000,15-Dec-04,PG-13,132,Warner Bros.,Based on Book/Short Story,Drama,Contemporary Fiction,Clint Eastwood,91,8.2,141212
Mean Girls,86047227,128947227,,18000000,30-Apr-04,PG-13,97,Paramount Pictures,Based on Book/Short Story,Comedy,Contemporary Fiction,Mark Waters,83,7,63607
"Me, Myself & Irene",90570999,149270999,,51000000,23-Jun-00,R,116,20th Century Fox,Original Screenplay,Romantic Comedy,Contemporary Fiction,Bobby Farrelly,48,6.9,215
Memoirs of a Geisha,57010853,161510853,32837435,85000000,9-Dec-05,PG-13,145,Sony Pictures,Based on Book/Short Story,Drama,Historical Fiction,Rob Marshall,36,7.1,38695
Men in Black,250690539,587790539,,90000000,1-Jul-97,PG-13,98,Sony Pictures,Based on Comic/Graphic Novel,Adventure,Science Fiction,Barry Sonnenfeld,91,7,119704
Mercury Rising,32983332,32983332,,60000000,3-Apr-98,R,112,Universal,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Harold Becker,17,5.8,21449
Meet Joe Black,44650003,44650003,,85000000,13-Nov-98,PG-13,154,Universal,Original Screenplay,Drama,Fantasy,Martin Brest,50,6.9,56067
Magnolia,22450975,48446802,,37000000,17-Dec-99,R,188,New Line,Original Screenplay,Drama,Contemporary Fiction,Paul Thomas Anderson,83,8,121540
The Men Who Stare at Goats,32428195,67348218,8155901,24000000,6-Nov-09,R,93,Overture Films,Based on Book/Short Story,Black Comedy,Contemporary Fiction,Grant Heslov,53,6.4,33763
Miss Congeniality,106807667,212100000,,45000000,22-Dec-00,PG-13,110,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Donald Petrie,41,6.1,42323
The Missing,26900336,38253433,,65000000,26-Nov-03,R,137,Sony Pictures,Based on Book/Short Story,Western,Historical Fiction,Ron Howard,59,7.4,19068
The Majestic,27796042,37306334,,72000000,21-Dec-01,PG,153,Warner Bros.,Original Screenplay,Drama,Historical Fiction,Frank Darabont,41,6.8,24809
Mission to Mars,60874615,106000000,,90000000,10-Mar-00,PG,116,Walt Disney Pictures,Original Screenplay,Adventure,Science Fiction,Brian De Palma,24,5.1,32449
Captain Corelli's Mandolin,25528495,62097495,,57000000,17-Aug-01,R,129,Miramax,Based on Book/Short Story,Drama,Historical Fiction,John Madden,29,5.7,14706
Midnight in the Garden of Good and Evil,25078937,25078937,,35000000,21-Nov-97,R,155,Warner Bros.,Based on Book/Short Story,Drama,Contemporary Fiction,Clint Eastwood,50,6.5,18960
Monster-in-Law,82931301,155931301,,45000000,13-May-05,PG-13,95,New Line,Original Screenplay,Comedy,Contemporary Fiction,Robert Luketic,16,5.1,16320
Mona Lisa Smile,63803100,121598309,,65000000,19-Dec-03,PG-13,117,Sony Pictures,Original Screenplay,Drama,Historical Fiction,Mike Newell,35,6.1,23657
Monster's Ball,31273922,44873922,,4000000,26-Dec-01,R,111,Lionsgate,Original Screenplay,Drama,Contemporary Fiction,Marc Forster,85,7.2,38023
"Monsters, Inc.",255870172,526864330,,115000000,2-Nov-01,G,95,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,David Silverman,95,7.4,39908
Money Talks,41076865,41076865,,25000000,22-Aug-97,R,95,New Line,Original Screenplay,Action,Contemporary Fiction,Brett Ratner,17,5.7,8640
Me and Orson Welles,1190003,1190003,,25000000,25-Nov-09,PG-13,107,Freestyle Releasing,Based on Book/Short Story,Drama,Historical Fiction,Richard Linklater,84,7.1,2417
Meet the Fockers,279167575,516567575,,60000000,22-Dec-04,PG-13,115,Universal,Original Screenplay,Comedy,Contemporary Fiction,Jay Roach,38,6.4,69613
Meet the Parents,166225040,301500000,,55000000,6-Oct-00,PG-13,108,Universal,Original Screenplay,Comedy,Contemporary Fiction,Jay Roach,84,7,84924
Minority Report,132024714,358824714,,102000000,21-Jun-02,PG-13,145,20th Century Fox,Based on Book/Short Story,Action,Science Fiction,Steven Spielberg,91,7.7,135142
Miss Potter,3005605,35025861,7821056,30000000,29-Dec-06,PG,92,MGM,Based on Real Life Events,Drama,Dramatization,Chris Noonan,66,7.1,10236
A Mighty Heart,9176787,18932117,5455645,15000000,22-Jun-07,R,100,Paramount Vantage,Based on Book/Short Story,Drama,Dramatization,Michael Winterbottom,78,6.7,13881
The Matrix Reloaded,281553689,738576929,,127000000,15-May-03,R,138,Warner Bros.,Original Screenplay,Action,Science Fiction,Andy Wachowski,73,7.1,148874
The Matrix Revolutions,139259759,424259759,,110000000,5-Nov-03,R,129,Warner Bros.,Original Screenplay,Action,Science Fiction,Andy Wachowski,37,6.5,123347
The Mummy,155385488,416385488,,80000000,7-May-99,PG-13,124,Universal,Remake,Adventure,Fantasy,Stephen Sommers,54,6.8,95658
The Mummy Returns,202007640,433007640,,98000000,4-May-01,PG-13,129,Universal,Remake,Adventure,Fantasy,Stephen Sommers,47,6.2,68084
The Mummy: Tomb of the Dragon Emperor,102491776,397912118,43147886,175000000,1-Aug-08,PG-13,111,Universal,Remake,Adventure,Fantasy,Rob Cohen,13,5.1,41570
Muppets From Space,16304786,16304786,,24000000,14-Jul-99,G,88,Sony Pictures,Based on TV,Comedy,Kids Fiction,Tim Hill,62,6.1,5945
Murder by Numbers,31874869,56643267,,50000000,19-Apr-02,R,120,Warner Bros.,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Barbet Schroeder,31,5.9,22318
Night at the Museum,250863268,574480841,153389976,110000000,22-Dec-06,PG,108,20th Century Fox,Based on Book/Short Story,Comedy,Fantasy,Shawn Levy,43,6.4,67133
The Musketeer,27053815,27053815,,40000000,7-Sep-01,PG-13,104,Universal,Based on Book/Short Story,Adventure,Historical Fiction,Peter Hyams,10,4.4,7812
Miami Vice,63478838,163818556,37652030,135000000,28-Jul-06,R,132,Universal,Based on TV,Action,Contemporary Fiction,Michael Mann,47,6,51921
Monsters vs. Aliens,198351526,381687380,83851943,175000000,27-Mar-09,PG,95,Paramount Pictures,Based on Comic/Graphic Novel,Adventure,Fantasy,Rob Letterman,72,6.8,26582
The Mexican,66808615,147808615,,40000000,2-Mar-01,R,124,Dreamworks SKG,Original Screenplay,Action,Contemporary Fiction,Gore Verbinski,55,5.9,37696
My Best Friend's Wedding,126813153,287200000,,46000000,20-Jun-97,PG-13,105,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,P.J. Hogan,72,6.2,37287
My Dog Skip,34099640,35512760,,7000000,12-Jan-00,PG,95,Warner Bros.,Original Screenplay,Drama,Kids Fiction,Jay Russell,72,6.9,9029
My Favorite Martian,36850101,36850101,,60000000,12-Feb-99,PG,93,Walt Disney Pictures,Based on TV,Comedy,Science Fiction,Donald Petrie,13,4.5,4918
My Fellow Americans,22331846,22331846,,21500000,20-Dec-96,PG-13,102,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Peter Segal,50,6.3,6366
My Sister's Keeper,49200230,89053995,21467223,27500000,26-Jun-09,PG-13,108,Warner Bros.,Based on Book/Short Story,Drama,Contemporary Fiction,Nick Cassavetes,48,7.4,13839
Mystic River,90135191,156835191,,30000000,8-Oct-03,R,137,Warner Bros.,Based on Book/Short Story,Drama,Contemporary Fiction,Clint Eastwood,87,8,119484
National Treasure,173005002,347405002,,100000000,19-Nov-04,PG,131,Walt Disney Pictures,Original Screenplay,Adventure,Contemporary Fiction,Jon Turteltaub,44,6.9,83989
The Nativity Story,37629831,46432264,26142500,35000000,1-Dec-06,PG,102,New Line,Based on Book/Short Story,Drama,Dramatization,Catherine Hardwicke,37,6.6,4701
The Incredibles,261441092,632882184,,92000000,5-Nov-04,PG,121,Walt Disney Pictures,Original Screenplay,Adventure,Super Hero,Brad Bird,97,8.1,159123
The Negotiator,44705766,49105766,,50000000,29-Jul-98,R,138,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,F. Gary Gray,81,7.2,46511
In Good Company,45489752,63489752,,26000000,29-Dec-04,PG-13,109,Universal,Original Screenplay,Comedy,Contemporary Fiction,Paul Weitz,84,6.8,25695
Nick and Norah's Infinite Playlist,31487293,31487293,10327750,10000000,3-Oct-08,PG-13,90,Sony Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Peter Sollett,73,6.8,24021
The Notebook,81001787,102276787,,30000000,25-Jun-04,PG-13,123,New Line,Based on Book/Short Story,Drama,Contemporary Fiction,Nick Cassavetes,52,8,95850
Napoleon Dynamite,44540956,46140956,,400000,11-Jun-04,PG,82,Fox Searchlight,Based on Short Film,Comedy,Contemporary Fiction,Jared Hess,70,6.9,76557
